indicator,International Dataset,Vietnam Dataset,indicator_type
age,True,False,International-specific Indicator
app_switch_frequency,True,False,International-specific Indicator
caffeine_intake,True,False,International-specific Indicator
concentration_score,True,False,International-specific Indicator
daily_screen_time,True,False,International-specific Indicator
deep_work_hours,True,False,International-specific Indicator
digital_exhaustion,False,True,Vietnam-specific Indicator
digital_stress,False,True,Vietnam-specific Indicator
distraction_frequency,True,False,International-specific Indicator
doomscrolling_duration,True,True,Common Indicator
emotional_exhaustion,True,True,Common Indicator
focus_sessions,True,False,International-specific Indicator
internet_stability,True,False,International-specific Indicator
late_night_device_usage,True,False,International-specific Indicator
loss_of_interest,False,True,Vietnam-specific Indicator
meeting_hours,True,False,International-specific Indicator
mental_fatigue,True,False,International-specific Indicator
motivation_level,True,True,Common Indicator
notification_count,True,True,Common Indicator
performance_decline,False,True,Vietnam-specific Indicator
physical_activity,True,False,International-specific Indicator
physical_fatigue,False,True,Vietnam-specific Indicator
remote_work_days,True,False,International-specific Indicator
sleep_hours,True,False,International-specific Indicator
sleep_quality,True,True,Common Indicator
smartphone_unlocks,True,False,International-specific Indicator
social_media_hours,True,False,International-specific Indicator
stress_level,True,False,International-specific Indicator
task_completion_rate,True,False,International-specific Indicator
work_satisfaction,True,False,International-specific Indicator
workspace_quality,True,False,International-specific Indicator
